Malicious package,Similarity,TopK
certefi-2022.9.24,0.8606,1
aiohttp_socks4-0.8.33,0.8488,9
python-dateutils-3.0.2,0.9907,1
aiohttp_socks4-0.8.55,0.9574,1
tiktok-filter-api-2.28.1,0.9402,2
aiohttp_socks4-0.8.36,0.9611,1
awsclie-1.27.67,0.963,1
awsclii-1.27.67,0.9,5
requists-2.28.2,0.9232,2
requessts-2.27.1,0.8307,9
requeests-2.27.1,0.8039,10
colorwin-6.6.7,0.9304,2
certife-2022.9.24,0.9566,1
aiohttp_socks4-0.8.27,0.9746,1
python-dateutils-3.0.1,0.8104,9
aiohttp_socks4-0.8.35,0.9551,1
requst-2.28.1,0.993,1
requess-2.27.1,0.9442,1
twyne-0.0.2,0.8606,2
reuests-2.27.1,0.8322,9
requsets-2.28.1,0.8836,2
requiest-2.28.2,0.9181,5
aiohttp_socks4-0.8.32,0.9952,1
aiohttp_socks4-0.8.34,0.9645,1
aiohttp_socks4-0.8.29,0.9358,3
s3trnasfer-0.5.2,0.9837,1
s3trnasfers-0.5.2,0.8071,8
certif-2022.9.24,0.8222,2
requrest-2.28.2,0.8826,4
aiohttp_socks4-0.8.26,0.9721,1
requstes-2.28.1,0.8353,1
reqquests-2.27.1,0.9303,2
u283udsfru-2022.12.7,0.9269,3
certifie-2022.9.24,0.8975,5
boto33-1.26.67,0.881,1
certifiee-2022.9.24,0.9048,4
requset-2.28.1,0.955,1
requstsss-2.28.2,0.9921,1
requests-httpx-2.28.1,0.9445,3
pyhints-2.28.1,0.9296,2
requestts-2.27.1,0.8326,7
rrequests-2.27.1,0.8877,1
rquest-2.28.2,0.9914,1
s3transfere-0.5.2,0.8491,9
stringe-0.0.1,0.8955,5
reequests-2.27.1,0.9784,1
python-dateutils-3.0.0,0.8568,5
aiohttp_socks4-0.8.31,0.9625,1
felpesviadinho-0.4.5,0.9324,3
aiohttp_socks4-0.8.51,0.9991,1
requet-2.28.1,0.8076,6
python-dateutils-2.9.9,0.8212,9
equests-2.27.1,0.8072,10
aiohttp_socks4-0.8.24,0.9155,4
aiohttp_socks4-0.8.30,0.988,1
twyne-0.0.1,0.953,1
botoa-1.26.67,0.8534,7
duonet-0.0.3,0.9364,1
botoo-1.26.67,0.9983,1
s3tranfer-0.5.2,0.8549,1
python-dateutils-3.0.3,0.9889,1
awscl-1.27.67,0.8854,2
duonet-0.0.2,0.9525,1
requstsssq-2.28.2,0.9046,5
requuests-2.27.1,0.9962,1
installpy-0.0.1,0.8129,1
pyiopcs-2.28.1,0.9687,1
botoa3-1.26.67,0.8378,3
botoo3-1.26.67,0.9891,1
incrivelsim-0.0.1,0.8335,5
s3transferr-0.5.2,0.9102,3
pygradient-2.3,0.9348,3
pygradient-2.5,0.8292,4
2022-requests-3.0.0,0.8935,3
advenced-requests-3.0.0,0.9328,1
aio5-0.2.9,0.8401,6
android-plus-new-5.3.1,0.807,1
apidev-coop-1.2.26,0.9008,2
BeautifulSoup-new-3.0.0,0.8803,5
beautifulsoup4-new-4.12.11,0.9106,4
botaa3-1.0.0,0.828,1
bullcode-0.5.0,0.4651,20
chillie-1.0.0,0.8329,3
dont-test-me-1.1.1,0.881,2
free-requests-module-3.0.0,0.9324,1
http-interact-3.0.0,0.8676,1
jeilyfish-0.7.0,0.654,15
jeilyfish-0.7.1,0.8958,2
new-reque-20222-2.28.1,0.8773,4
new-request-3.3.1,0.9478,2
new-request-2022-4.5.1,0.9294,2
new-requests-2.28.1,0.8279,9
new-requests-2022-3.0.0,0.9564,1
new-requests-module-2.28.1,0.8441,9
oklend-0.9.1,0.9062,3
private-library-dont-install-3.3.1,0.9429,2
python3-dateutil-2.8.1,0.8213,3
python3-dateutil-2.8.2,0.9636,1
python3-dateutil-2.8.3,0.8656,5
python3-dateutil-2.8.4,0.9838,1
python3-dateutil-2.8.10,0.9281,3
python3-dateutil-2.8.11,0.9977,1
python3-dateutil-2.8.20,0.954,1
python3-dateutil-2.8.21,0.9842,1
python3-dateutil-2.8.22,0.9237,1
python3-dateutil-2.8.30,0.993,1
python3-dateutil-2.9.1,0.801,9
pythonkafka-1.3.5,0.8563,10
PyYMAL-1.0.0,0.0165,78
reques-new-2022-2.28.1,0.8528,7
requests-beta-2.26.1,0.9895,1
requests-new-module-3.0.0,0.8579,1
rq-websites-3.0.0,0.8299,5
rqrqrq-1.0.0,0.8144,4
SimpleCalc-2022-4.2.21,0.8856,3
ultrarequests-2.28.3,0.9707,1
updated-requests-3.0.0,0.8315,4
upgrade-requests-3.0.0,0.8447,10
url-requests-3.0.0,0.8883,4
urlib3-1.21.1,0.4596,76
Web-requests-autmoation-3.0.0,0.879,2
youtube-new-2.2.1,0.935,2
pehttps-0.0.2,0.8683,1
aiohttp_proxies-0.8.36,0.943,1
aiohttp_proxies-0.8.37,0.973,1
aiohttp_proxies-0.8.38,0.9965,1
aiohttp_proxies-0.8.39,0.8712,4
aiohttp_proxies-0.8.40,0.8838,4
aiohttp_proxies-0.8.41,0.9153,2
aiohttp_proxies-0.8.42,0.9838,1
aiohttp_proxies-0.8.43,0.8282,6
aiohttp_proxies-0.8.44,0.937,2
aiohttp_proxies-0.8.45,0.8388,1
aiohttp_socks5-0.7.1,0.9458,3
aiohttp_socks5-0.8.1,0.8277,8
aiohttp_socks5-0.8.2,0.8966,2
aiohttp_socks5-0.8.3,0.8268,5
aiohttp_socks5-0.8.4,0.9369,3
aiohttp_socks5-0.8.5,0.9626,1
colourama-0.1.6,0.3924,70
django-server-0.1.2,0.8536,3
mypackage1337-0.1.0,0.9355,1
python-mongo-0.2.0,0.8953,2
python-openssl-0.1,0.9918,1
torchtriton-2.0.0+0d7e753227,0.0062,86
torchtriton-2.0.0+0d7e753227,0.1101,20
torchtriton-2.0.0+0d7e753227,0.5319,84
torchtriton-2.0.0+0d7e753227,0.3521,82
torchtriton-2.0.0+0d7e753227,0.0097,65
